value,volume
100,48
671,75
167,57
283,56
807,76
763,115
322,117
316,25
208,119
281,27
844,82
494,102
834,43
455,96
984,90
142,77
219,28
307,55
137,21
639,36
655,112
917,99
795,79
515,61
681,30
447,102
956,40
645,88
544,28
832,95
225,31
498,99
633,102
670,22
841,95
412,29
923,59
740,96
875,73
552,90
864,107
314,86
456,47
928,82
244,46
134,103
746,106
132,97
343,27
809,67
386,42
644,96
410,69
868,20
311,73
386,103
333,44
123,79
683,61
173,74
259,69
652,63
580,22
860,94
578,84
538,31
416,23
243,116
961,81
710,111
247,119
493,108
487,54
190,74
981,65
537,79
604,52
659,108
851,116
985,59
274,26
687,59
816,57
642,92
997,57
288,46
420,90
498,27
771,26
658,64
572,118
706,108
441,73
114,93
507,34
615,23
284,94
108,88
416,111
469,33
958,43
770,59
935,62
440,21
490,39
169,54
416,112
296,106
489,47
194,31
104,87
173,57
310,56
793,49
644,114
755,58
183,83
219,61
400,56
931,113
815,41
570,68
775,96
667,102
444,84
673,31
682,35
930,65
673,46
691,106
867,58
243,109
817,65
257,115
611,97
421,79
521,64
891,118
549,79
307,100
385,60
748,48
528,56
378,73
972,59
817,100
220,68
612,27
925,27
530,66
401,58
637,33
118,20
962,34
712,72
308,79
406,115
758,49
594,79
386,23
336,113
867,64
495,69
547,103
631,81
650,28
636,70
321,76
371,83
385,36
551,89
734,86
835,76
618,90
628,87
670,35
808,99
403,90
993,63
420,40
373,28
960,84
363,31
424,94
952,59
266,105
841,110
741,73
602,25
614,87
779,30
236,65
734,30
201,29
708,33
275,115
886,75
240,91
689,24
667,51
985,60
769,91
593,55
631,29
361,67
967,60
348,44
138,93
265,78
344,112
331,26
641,59
543,111
288,49
777,94
310,109
379,53
390,57
651,71
822,38
183,101
432,91
380,33
210,51
441,66
168,57
249,37
340,68
937,114
736,73
304,65
152,26
534,51
580,28
541,90
925,113
617,25
394,37
896,47
845,74
909,70
175,81
198,87
726,53
164,93
432,50
268,118
698,109
276,48
870,62
228,22
611,32
933,29
297,37
220,70
994,23
439,22
653,87
125,28
953,100
316,98
859,92
144,104
285,38
411,86
957,88
838,51
641,39
141,78
414,100
328,45
164,64
148,105
718,40
838,24
775,24
949,72
161,57
712,111
371,84
975,46
948,118
841,26
655,25
887,108
662,44
432,112
183,66
967,88
554,43
707,106
851,37
998,68
188,84
543,78
221,36
831,37
331,91
263,91
357,118
107,65
990,114
709,28
314,23
998,20
441,103
844,101
950,71
463,68
277,59
585,116
830,119
522,102
510,83
789,43
948,94
744,50
187,83
442,58
382,72
591,31
110,114
818,113
783,96
943,35
762,26
247,36
646,85
167,80
725,34
105,36
462,109
407,52
833,20
596,45
840,46
833,56
579,77
843,66
142,74
812,95
550,39
655,52
728,79
637,103
104,35
108,66
959,95
987,79
971,44
658,96
779,54
614,54
192,68
182,75
426,43
469,99
314,108
930,23
388,86
177,48
554,40
144,21
399,106
274,65
394,74
237,101
124,115
602,56
847,32
453,98
625,45
443,34
112,44
802,89
479,86
190,37
584,50
165,90
265,92
474,40
480,88
131,49
306,42
774,53
846,96
970,83
883,27
369,40
525,27
517,95
177,85
422,33
180,100
358,74
185,32
817,76
681,45
999,117
158,70
119,100
763,68
741,94
234,110
593,95
233,32
305,34
510,110
397,58
234,21
710,60
610,101
562,63
455,70
967,51
417,60
279,35
684,29
591,82
840,73
955,66
289,30
415,102
196,86
421,48
776,43
640,53
533,30
461,59
608,95
946,20
412,63
406,37
662,87
287,77
467,71
544,72
252,62
672,24
552,33
616,51
783,23
638,39
107,89
849,48
388,66
345,59
619,61
792,101
112,105
713,37
421,43
247,93
727,50
168,33
168,32
678,98
812,105
310,88
426,94
225,83
175,25
568,38
597,86
790,91
297,93
200,87
297,48
618,77
139,100
984,97
883,87
610,53
786,94
853,106
938,77
198,51
188,65
944,69
952,66
307,80
401,43
393,43
204,113
815,107
482,40
697,44
683,95
523,20
114,36
849,108
712,67
890,37
165,24
267,44
575,79
410,54
412,116
233,78
249,99
210,33
178,108
544,42
455,49
327,77
580,86
249,99
930,102
575,35
604,91
241,118
168,94
144,57
252,52
297,87
538,82
448,35
930,73
703,100
778,37
115,65
295,108
843,34
904,106
213,50
551,110
583,94
510,63
427,67
921,77
521,69
218,71
973,39
804,28
380,36
137,33
564,111
914,64
211,48
704,90
250,113
436,91
350,59
304,37
974,67
617,45
431,63
886,112
821,104
895,49
729,67
502,113
371,23
755,56
119,117
196,20
841,21
424,48
213,57
883,31
339,27
824,68
798,100
854,87
936,53
241,58
204,77
711,111
811,67
976,99
399,31
701,60
704,51
797,89
978,56
115,94
926,39
468,53
162,58
195,78
354,38
850,116
578,67
692,78
487,60
773,85
161,87
866,49
808,90
292,82
981,31
649,24
906,73
422,50
430,95
389,85
384,100
482,22
624,36
629,37
541,53
847,100
110,87
179,41
830,29
519,84
169,107
649,27
341,114
697,115
733,50
403,29
636,55
612,67
822,87
697,33
177,94
440,76
658,42
351,86
434,97
646,32
510,107
385,66
100,89
427,108
636,30
492,52
779,109
244,51
643,108
762,79
771,58
675,112
706,95
487,54
748,81
983,116
576,94
284,116
642,96
378,87
285,66
112,98
264,75
283,57
926,66
554,94
627,117
100,42
163,114
986,105
766,110
834,23
816,117
701,34
580,48
871,56
921,87
600,54
426,58
325,111
140,74
609,49
989,63
538,93
623,44
367,56
441,90
902,115
920,86
724,78
157,74
890,106
979,86
962,38
753,30
416,42
811,26
547,119
295,86
937,70
820,68
561,73
881,23
838,88
163,74
639,35
526,54
644,72
296,55
669,66
992,37
477,36
940,82
750,104
496,76
868,92
975,41
834,56
360,82
294,117
475,67
737,38
318,40
625,114
523,61
322,110
219,25
437,89
958,89
506,51
701,114
279,59
688,117
580,45
773,91
585,42
530,76
607,97
433,52
798,20
688,53
762,23
877,33
736,90
166,50
263,48
370,93
685,106
396,74
351,29
118,84
412,20
812,98
755,90
817,111
879,99
531,99
352,116
697,117
970,57
775,91
111,94
491,109
134,57
357,46
571,118
896,95
557,71
180,34
217,109
936,40
769,119
730,117
121,65
294,115
497,36
535,83
414,79
426,107
356,63
265,55
309,75
850,22
774,111
431,82
602,62
196,112
462,65
757,45
887,76
676,65
457,81
875,108
762,52
674,72
182,33
892,58
393,50
770,86
912,26
526,70
916,41
373,84
678,117
560,30
171,61
754,114
459,108
371,93
464,101
533,41
501,22
570,56
259,26
329,52
123,92
413,51
740,79
840,83
711,102
218,76
856,39
928,87
970,67
726,30
711,43
313,74
630,26
158,115
698,63
440,107
827,69
335,55
621,55
332,49
898,109
968,90
636,65
716,91
958,52
637,48
688,37
431,79
407,21
599,20
231,59
795,85
989,31
467,72
869,60
715,39
119,23
934,92
355,74
360,31
796,38
256,104
421,70
444,107
893,20
796,62
840,29
926,23
564,114
909,70
976,64
799,33
185,49
590,110
629,36
243,74
419,50
739,38
324,55
259,31
370,23
342,86
264,66
232,57
217,40
437,113
172,22
185,30
952,90
939,32
264,37
860,57
506,108
477,69
957,34
978,69
600,110
887,86
533,81
737,31
653,50
275,21
635,84
246,27
173,59
119,36
118,34
890,80
408,38
247,67
503,98
544,99
877,71
829,36
634,32
810,106
836,88
764,94
975,39
401,84
471,25
503,113
728,101
729,84
863,56
486,22
533,93
114,64
146,66
979,76
487,63
913,29
364,97
342,32
121,31
231,63
778,34
862,35
148,36
702,21
379,83
216,20
393,87
797,94
756,48
558,81
539,74
488,66
865,33
406,24
740,36
126,67
724,39
393,46
466,24
635,112
637,108
588,30
458,88
924,40
930,88
973,77
638,51
214,24
519,72
203,67
991,100
127,46
711,75
563,111
724,92
731,22
300,70
986,87
190,51
534,40
550,92
107,59
404,60
848,57
727,21
963,70
745,87
215,100
717,27
855,52
734,112
453,89
643,70
748,32
323,72
898,114
174,26
561,71
117,101
625,77
693,108
747,47
423,26
832,114
667,118
618,45
336,53
567,54
800,37
284,73
914,33
182,86
755,110
528,47
479,46
134,58
990,51
876,108
320,37
349,44
467,33
296,94
157,70
175,63
777,27
481,111
226,67
831,30
136,44
338,74
989,22
443,87
352,80
864,104
396,41
925,112
929,113
647,22
158,50
233,44
189,118
832,119
718,53
155,92
179,68
588,118
445,37
972,26
638,86
312,27
743,112
538,109
864,60
259,25
228,48
468,21
619,53
454,44
150,55
164,91
713,46
650,113
472,47
975,60
888,45
794,107
925,97
357,78
765,73
889,94
900,38
988,28
790,50
358,113
601,73
796,61
667,115
874,83
760,36
914,25
750,23
630,39
374,68
688,42
109,32
414,56
519,104
362,73
259,35
163,111
129,33
565,115
598,114
503,83
621,61
115,29
104,54
644,96
630,104
421,118
403,75
370,59
268,55
107,111
138,80
759,112
678,62
422,30
965,27
647,108
925,110
792,85
960,60
303,109
759,26
258,91
858,34
970,92
499,31
179,83
482,65
988,41
702,88
382,22
504,104
895,105
821,27
784,92
455,29
431,50
791,93
611,37
852,51
368,116
228,76
146,31
429,113
276,35
994,90
490,38
845,21
730,46
955,87
486,33
333,90
623,55
350,108
330,99
827,60
926,59
279,88
520,85
660,48
567,91
711,60
374,59
336,64
777,41
719,53
836,42
138,76
235,110
267,99
648,58
310,109
377,51
911,114
498,41
109,26
798,95
962,95
540,51
478,69
268,119
877,91
562,102
524,85
719,104
526,56
616,34
374,119
469,91
710,57
883,80
779,43
891,116
983,22
477,54
623,61
369,22
128,26
693,42
303,91
451,88
225,32
869,81
959,61
612,40
889,78
934,89
749,60
753,93
406,54
639,57
799,90
306,100
686,31
228,23
334,110
888,78
803,79
172,36
879,86
384,32
507,21
461,77
929,25
766,115
532,57
521,62
568,114
139,58
529,115
455,43
129,90
818,108
671,115
235,80
616,66
583,29
371,99
578,44
255,30
557,89
561,94
369,71
928,47
692,80
225,81
949,42
603,118
732,33
855,86
856,51
172,115
410,69
373,78
340,52
317,118
366,84
399,30
369,92
979,79
752,56
739,59
622,37
315,60
152,102
222,60
225,21
423,82
114,75
784,107
793,51
105,116
405,117
861,88
125,81
408,91
428,23
553,66
181,107
263,73
863,116
263,75
755,116
521,79
120,31
107,104
777,49
236,106
202,93
991,97
333,98
708,79
363,81
781,66
598,76
559,58
894,64
595,111
179,107
691,37
776,87
853,88
960,105
281,49
